drug_name,medical_condition,activity,rx_otc,pregnancy_category,alcohol
cimetidine,GERD (Heartburn),4,Rx/OTC,B,X
dexlansoprazole,GERD (Heartburn),4,Rx,B,N
Heartburn Relief,GERD (Heartburn),4,OTC,B,N
Heartburn Relief Maximum Strength,GERD (Heartburn),4,Rx/OTC,B,N
metoclopramide,GERD (Heartburn),4,Rx,B,X
omeprazole / sodium bicarbonate,GERD (Heartburn),4,Rx/OTC,C,N
Pepcid AC Chewable Tablets,GERD (Heartburn),4,OTC,B,N
Pepcid Oral Suspension,GERD (Heartburn),4,Rx,B,N
Mylanta,GERD (Heartburn),3,OTC,N,N
Reglan,GERD (Heartburn),3,Rx,B,X
Zegerid,GERD (Heartburn),3,Rx,C,N
calcium carbonate,GERD (Heartburn),2,OTC,N,N
magnesium oxide,GERD (Heartburn),2,Rx/OTC,C,N
Nexium IV,GERD (Heartburn),2,Rx,C,N
nizatidine,GERD (Heartburn),2,Rx/OTC,B,N
aluminum hydroxide / magnesium hydroxide / simethicone,GERD (Heartburn),1,OTC,N,N
bethanechol,GERD (Heartburn),1,Rx,C,N
Calci-Chew,GERD (Heartburn),1,OTC,N,N
Mag-Oxide,GERD (Heartburn),1,Rx/OTC,C,N
Pepcid Complete,GERD (Heartburn),1,OTC,N,N
Phillips' Cramp-free,GERD (Heartburn),1,Rx/OTC,C,N
Prevacid OTC,GERD (Heartburn),1,OTC,B,N
Prevacid SoluTab,GERD (Heartburn),1,Rx,B,N
Tagamet HB,GERD (Heartburn),1,Rx/OTC,B,X
Titralac,GERD (Heartburn),1,OTC,N,N
Tums Regular Strength,GERD (Heartburn),1,OTC,N,N
Tums Smoothies,GERD (Heartburn),1,OTC,N,N
Uro-Mag,GERD (Heartburn),1,Rx/OTC,C,N
Zegerid OTC,GERD (Heartburn),1,OTC,C,N
Aciphex Sprinkle,GERD (Heartburn),0,Rx,B,N
Alamag,GERD (Heartburn),0,OTC,N,N
Alka-Seltzer Heartburn + Gas,GERD (Heartburn),0,OTC,C,N
Almacone,GERD (Heartburn),0,OTC,N,N
aluminum hydroxide / magnesium carbonate,GERD (Heartburn),0,OTC,N,N
aluminum hydroxide / magnesium hydroxide,GERD (Heartburn),0,OTC,N,N
aluminum hydroxide,GERD (Heartburn),0,Rx/OTC,N,N
Amphojel,GERD (Heartburn),0,Rx/OTC,N,N
Axid AR,GERD (Heartburn),0,OTC,B,N
belladonna,GERD (Heartburn),0,Rx,C,X
calcium carbonate / famotidine / magnesium hydroxide,GERD (Heartburn),0,OTC,N,N
calcium carbonate / magnesium hydroxide / simethicone,GERD (Heartburn),0,OTC,C,N
calcium carbonate / simethicone,GERD (Heartburn),0,OTC,C,N
Di-Gel,GERD (Heartburn),0,OTC,N,N
Dual Action Complete,GERD (Heartburn),0,OTC,N,N
Duo Fusion,GERD (Heartburn),0,OTC,N,N
Gas-X with Maalox Extra Strength,GERD (Heartburn),0,OTC,C,N
Gelusil,GERD (Heartburn),0,OTC,N,N
Mi-Acid,GERD (Heartburn),0,OTC,N,N
Milantex,GERD (Heartburn),0,OTC,N,N
Mintox,GERD (Heartburn),0,OTC,N,N
Mintox Plus,GERD (Heartburn),0,OTC,N,N
Mylanta Coat & Cool,GERD (Heartburn),0,OTC,C,N
Mylanta Maximum Strength,GERD (Heartburn),0,OTC,N,N
Mylanta Tonight,GERD (Heartburn),0,OTC,C,N
Rulox,GERD (Heartburn),0,OTC,N,N
sodium citrate,GERD (Heartburn),0,Rx/OTC,C,N
Tricitrasol,GERD (Heartburn),0,Rx/OTC,C,N
Tums Chewy Bites with Gas Relief (Lemon & Strawberry),GERD (Heartburn),0,OTC,C,N
Zegerid with Magnesium Hydroxide,GERD (Heartburn),0,,C,N
allopurinol,Gout,100,Rx,C,N
Uloric,Gout,20,Rx,C,N
Zyloprim,Gout,16,Rx,C,N
Aloprim,Gout,13,Rx,C,N
febuxostat,Gout,11,Rx,C,N
Krystexxa,Gout,7,Rx,C,N
probenecid,Gout,7,Rx,N,N
pegloticase,Gout,4,Rx,C,N
rilonacept,Gout,1,Rx,C,N
spironolactone,Hair Loss,100,Rx,C,X
minoxidil,Hair Loss,68,Rx/OTC,C,N
Azulfidine,Hair Loss,35,Rx,B,N
sulfasalazine,Hair Loss,34,Rx,B,N
Aldactone,Hair Loss,23,Rx,C,X
Rogaine,Hair Loss,19,Rx/OTC,C,N
Kenalog-10,Hair Loss,15,Rx,C,N
triamcinolone,Hair Loss,14,Rx,C,N
Aristospan,Hair Loss,10,Rx,C,N
Rogaine Men's Extra Strength,Hair Loss,10,Rx/OTC,C,N
Rogaine Women's,Hair Loss,10,Rx/OTC,C,N
Hair Regrowth Treatment for Women,Hair Loss,8,Rx/OTC,C,N
Kenalog-40,Hair Loss,5,Rx,C,N
Hair Regrowth Treatment for Men,Hair Loss,4,Rx/OTC,C,N
Azulfidine EN-tabs,Hair Loss,2,Rx,B,N
Zyrtec,Hayfever,97,Rx/OTC,B,X
cetirizine,Hayfever,75,Rx/OTC,B,X
fluticasone,Hayfever,52,Rx/OTC,C,N
loratadine,Hayfever,50,Rx/OTC,B,N
Flonase,Hayfever,45,Rx,C,N
Allegra,Hayfever,42,Rx/OTC,C,N
montelukast,Hayfever,41,Rx,B,N
Claritin,Hayfever,38,Rx/OTC,B,N
Singulair,Hayfever,33,Rx,B,N
fexofenadine,Hayfever,27,Rx/OTC,C,N
Astelin,Hayfever,24,Rx/OTC,C,X
azelastine,Hayfever,22,Rx/OTC,C,X
Benadryl,Hayfever,17,Rx/OTC,B,X
Xyzal,Hayfever,10,Rx,B,X
prednisone,Hayfever,9,Rx,C,N
Allegra Allergy,Hayfever,8,OTC,C,N
Astepro,Hayfever,8,Rx,C,X
diphenhydramine,Hayfever,8,Rx/OTC,B,X
Flonase Allergy Relief,Hayfever,8,OTC,C,N
levocetirizine,Hayfever,8,Rx/OTC,B,X
Dymista,Hayfever,7,Rx,C,X
Medrol,Hayfever,6,Rx,C,N
Clarinex,Hayfever,5,Rx,C,N
Nasacort Allergy 24HR,Hayfever,5,OTC,C,N
Aller-Tec,Hayfever,4,Rx/OTC,B,X
chlorpheniramine,Hayfever,4,Rx/OTC,B,X
desloratadine,Hayfever,4,Rx,C,N
mometasone,Hayfever,4,Rx/OTC,C,N
Phenergan,Hayfever,4,Rx,C,X
triamcinolone,Hayfever,4,Rx/OTC,C,N
Alavert,Hayfever,3,Rx/OTC,B,N
Allegra-D 12 Hour,Hayfever,3,Rx/OTC,C,N
Allegra-D 24 Hour,Hayfever,3,Rx/OTC,C,N
Allergy Relief Tablets,Hayfever,3,Rx/OTC,B,N
Benadryl Allergy,Hayfever,3,Rx/OTC,B,X
budesonide,Hayfever,3,Rx/OTC,B,N
Claritin Reditabs,Hayfever,3,Rx/OTC,B,N
dexamethasone,Hayfever,3,Rx,C,N
Flonase Sensimist,Hayfever,3,OTC,C,N
MethylPREDNISolone Dose Pack,Hayfever,3,Rx,C,N
methylprednisolone,Hayfever,3,Rx,C,N
promethazine,Hayfever,3,Rx,C,X
Zyrtec-D,Hayfever,3,Rx/OTC,C,X
All Day Allergy,Hayfever,2,Rx/OTC,B,X
All Day Allergy Children's,Hayfever,2,Rx/OTC,B,X
Allegra ODT,Hayfever,2,Rx/OTC,C,N
Aller-Tec Children's,Hayfever,2,Rx/OTC,B,X
Allergy Relief 24 Hour,Hayfever,2,Rx/OTC,B,N
Antinaus 50,Hayfever,2,Rx,C,X
beclomethasone,Hayfever,2,Rx,C,N
cetirizine / pseudoephedrine,Hayfever,2,Rx/OTC,C,X
Children's Claritin Allergy,Hayfever,2,Rx/OTC,B,N
Claritin-D,Hayfever,2,OTC,B,N
Claritin-D 24 Hour,Hayfever,2,OTC,B,N
Clinacort,Hayfever,2,Rx,C,N
cyproheptadine,Hayfever,2,Rx,B,X
De-Sone LA,Hayfever,2,Rx,C,N
Depo-Medrol,Hayfever,2,Rx,C,N
Dexamethasone Intensol,Hayfever,2,Rx,C,N
Dxevo,Hayfever,2,Rx,C,N
flunisolide,Hayfever,2,Rx,C,N
HiDex,Hayfever,2,Rx,C,N
Kenalog-40,Hayfever,2,Rx,C,N
Loratadine-D 24 Hour,Hayfever,2,OTC,B,N
Medrol Dosepak,Hayfever,2,Rx,C,N
ohm Allergy Relief,Hayfever,2,Rx/OTC,B,N
Omnaris,Hayfever,2,Rx,C,N
Patanase,Hayfever,2,Rx,C,X
Phenadoz,Hayfever,2,Rx,C,X
Promethegan,Hayfever,2,Rx,C,X
QNASL,Hayfever,2,Rx,C,N
Solu-Medrol,Hayfever,2,Rx,C,N
Tavist ND,Hayfever,2,Rx/OTC,B,N
Ticanase,Hayfever,2,Rx,C,N
triamcinolone,Hayfever,2,Rx,C,N
Wal-itin,Hayfever,2,Rx/OTC,B,N
ZoDex,Hayfever,2,Rx,C,N
Zyrtec-D 12 Hour,Hayfever,2,Rx/OTC,C,X
acrivastine / pseudoephedrine,Hayfever,1,Rx,B,X
Aller-Chlor,Hayfever,1,Rx/OTC,B,X
Aller-Ease,Hayfever,1,Rx/OTC,C,N
Allergy Relief,Hayfever,1,Rx/OTC,B,X
Allermax,Hayfever,1,Rx/OTC,B,X
Astepro Allergy,Hayfever,1,OTC,C,X
azelastine / fluticasone,Hayfever,1,Rx,C,X
Banophen,Hayfever,1,Rx/OTC,B,X
Beconase AQ,Hayfever,1,Rx,C,N
C.P.M.,Hayfever,1,Rx/OTC,B,X
Chlo-Amine,Hayfever,1,Rx/OTC,B,X
Chlor-Mal,Hayfever,1,Rx/OTC,B,X
Chlor-Trimeton,Hayfever,1,Rx/OTC,B,X
chlorpheniramine / phenylephrine,Hayfever,1,Rx/OTC,N,X
ChlorTan,Hayfever,1,Rx/OTC,B,X
Claritin-D 12 Hour,Hayfever,1,OTC,B,N
Complete Allergy Relief,Hayfever,1,Rx/OTC,B,X
dexbrompheniramine / pseudoephedrine,Hayfever,1,Rx/OTC,C,X
Dicopanol,Hayfever,1,Rx/OTC,B,X
Diphedryl,Hayfever,1,Rx/OTC,B,X
Diphen,Hayfever,1,Rx/OTC,B,X
Dytuss,Hayfever,1,Rx/OTC,B,X
Ed-Chlortan,Hayfever,1,Rx/OTC,B,X
Ed ChlorPed,Hayfever,1,Rx/OTC,B,X
Ed Chlor Ped Jr.,Hayfever,1,Rx/OTC,B,X
fexofenadine / pseudoephedrine,Hayfever,1,Rx/OTC,C,N
loratadine / pseudoephedrine,Hayfever,1,OTC,B,N
Mucinex Allergy,Hayfever,1,Rx/OTC,C,N
NasalCrom,Hayfever,1,Rx/OTC,B,N
olopatadine,Hayfever,1,Rx,C,X
Promethazine DM,Hayfever,1,Rx,C,X
Rhinocort Allergy,Hayfever,1,OTC,B,N
Scot-Tussin Allergy,Hayfever,1,Rx/OTC,B,X
Siladryl Allergy,Hayfever,1,Rx/OTC,B,X
Twilite,Hayfever,1,Rx/OTC,B,X
Valu-Dryl,Hayfever,1,Rx/OTC,B,X
Vanamine PD,Hayfever,1,Rx/OTC,B,X
Wal-finate,Hayfever,1,Rx/OTC,B,X
A-Phedrin,Hayfever,0,Rx/OTC,C,X
Abatuss DMX,Hayfever,0,Rx/OTC,C,X
acetaminophen / chlorpheniramine,Hayfever,0,OTC,N,X
Actifed Cold and Allergy,Hayfever,0,Rx/OTC,N,X
Advil Allergy Sinus,Hayfever,0,OTC,D,X
Advil Children's Allergy Sinus,Hayfever,0,OTC,D,X
Alavert D-12 Hour Allergy and Sinus,Hayfever,0,OTC,B,N
Allan Tannate Pediatric,Hayfever,0,Rx/OTC,N,X
All Day Allergy-D,Hayfever,0,Rx/OTC,C,X
Allerest Maximum Strength,Hayfever,0,Rx/OTC,C,X
Allerest PE,Hayfever,0,Rx/OTC,N,X
Allerfrim,Hayfever,0,Rx/OTC,C,X
Allergy & Congestion Relief,Hayfever,0,OTC,B,N
Allergy Relief D,Hayfever,0,Rx/OTC,C,X
Aphedrid,Hayfever,0,Rx/OTC,C,X
Aprodine,Hayfever,0,Rx/OTC,C,X
Arbinoxa,Hayfever,0,Rx,C,X
Benadryl Allergy Plus Congestion,Hayfever,0,Rx/OTC,C,X
BP Allergy JR,Hayfever,0,Rx/OTC,N,X
Brohist D,Hayfever,0,Rx/OTC,C,X
Bromaline,Hayfever,0,Rx/OTC,C,X
Bromatan Plus,Hayfever,0,Rx/OTC,C,X
Bromax,Hayfever,0,Rx/OTC,C,X
brompheniramine / phenylephrine,Hayfever,0,Rx/OTC,C,X
brompheniramine / pseudoephedrine,Hayfever,0,Rx/OTC,C,X
brompheniramine,Hayfever,0,Rx/OTC,C,X
Brotapp,Hayfever,0,Rx/OTC,C,X
Capron DM,Hayfever,0,OTC,N,X
Capron DMT,Hayfever,0,OTC,N,X
carbinoxamine,Hayfever,0,Rx,C,X
Carboxine,Hayfever,0,Rx,C,X
Children's Triacting Night Time,Hayfever,0,Rx/OTC,C,X
Chlorex-A 12,Hayfever,0,Rx,C,X
chlorpheniramine / codeine,Hayfever,0,Rx/OTC,C,X
chlorpheniramine / ibuprofen / pseudoephedrine,Hayfever,0,OTC,D,X
chlorpheniramine / phenylephrine / pyrilamine,Hayfever,0,Rx,C,X
chlorpheniramine / pseudoephedrine,Hayfever,0,Rx/OTC,C,X
ChlorTan D,Hayfever,0,Rx/OTC,N,X
ciclesonide,Hayfever,0,Rx,C,N
Clarinex-D 12 Hour,Hayfever,0,Rx,C,N
Clarinex-D 24 Hour,Hayfever,0,Rx,C,N
Clarinex Reditabs,Hayfever,0,Rx,C,N
Clear-Atadine-D,Hayfever,0,OTC,B,N
clemastine,Hayfever,0,Rx/OTC,B,X
Codar AR,Hayfever,0,Rx/OTC,C,X
Codimal DM,Hayfever,0,Rx/OTC,C,X
Conal,Hayfever,0,Rx,C,X
Conex,Hayfever,0,Rx/OTC,C,X
Coricidin HBP Cold & Flu,Hayfever,0,OTC,N,X
cromolyn,Hayfever,0,Rx/OTC,B,N
Dallergy Drops,Hayfever,0,Rx/OTC,N,X
Decon-A,Hayfever,0,Rx/OTC,C,X
Deconamine,Hayfever,0,Rx/OTC,C,X
Deltuss DMX,Hayfever,0,Rx/OTC,C,X
desloratadine / pseudoephedrine,Hayfever,0,Rx,C,N
dexchlorpheniramine / dextromethorphan / pseudoephedrine,Hayfever,0,Rx/OTC,C,X
dexchlorpheniramine / phenylephrine,Hayfever,0,Rx/OTC,C,X
dexchlorpheniramine,Hayfever,0,Rx,B,X
dextromethorphan / diphenhydramine / phenylephrine,Hayfever,0,Rx/OTC,C,X
dextromethorphan / phenylephrine / pyrilamine,Hayfever,0,Rx/OTC,C,X
dextromethorphan / promethazine,Hayfever,0,Rx,C,X
dextromethorphan / pyrilamine,Hayfever,0,OTC,N,X
Dicel,Hayfever,0,Rx/OTC,C,X
Dimetane Decongestant,Hayfever,0,Rx/OTC,C,X
Dimetapp Children's Cold & Allergy,Hayfever,0,Rx/OTC,C,X
diphenhydramine / phenylephrine,Hayfever,0,Rx/OTC,C,X
Dixaphedrine,Hayfever,0,Rx/OTC,C,X
doxylamine,Hayfever,0,Rx/OTC,B,X
Drixoral Cold and Allergy,Hayfever,0,Rx/OTC,C,X
Dytan-D,Hayfever,0,Rx/OTC,C,X
Dytan-DM,Hayfever,0,Rx/OTC,C,X
Ed A-Hist,Hayfever,0,Rx/OTC,N,X
Ed ChlorPed D,Hayfever,0,Rx/OTC,N,X
Equaline Sleep Aid,Hayfever,0,Rx/OTC,B,X
Equate Sleep Aid,Hayfever,0,Rx/OTC,B,X
Grastek,Hayfever,0,Rx,B,N
Histafed,Hayfever,0,Rx/OTC,C,X
Histex CT,Hayfever,0,Rx,C,X
Histex IE,Hayfever,0,Rx,C,X
Histex PD,Hayfever,0,Rx,C,X
Karbinal ER,Hayfever,0,Rx,C,X
Leader Allergy Relief D-24,Hayfever,0,OTC,B,N
Lodrane D,Hayfever,0,Rx/OTC,C,X
LoHist-D,Hayfever,0,Rx/OTC,C,X
Loratadine-D 12 Hour,Hayfever,0,OTC,B,N
mixed grass pollens allergen extract,Hayfever,0,Rx,B,N
Nalex A 12,Hayfever,0,Rx,C,X
Nasonex 24HR Allergy,Hayfever,0,OTC,C,N
NoHist LQ,Hayfever,0,Rx/OTC,N,X
Novahistine,Hayfever,0,Rx/OTC,N,X
Oralair,Hayfever,0,Rx,B,N
Phena-Plus,Hayfever,0,Rx,C,X
Phenagil,Hayfever,0,Rx/OTC,N,X
phenylephrine / promethazine,Hayfever,0,Rx,C,X
Polmon,Hayfever,0,Rx,B,X
pseudoephedrine / triprolidine,Hayfever,0,Rx/OTC,C,X
ragweed pollen allergen extract,Hayfever,0,Rx,C,N
Ragwitek,Hayfever,0,Rx,C,N
Ru-Hist D,Hayfever,0,Rx/OTC,C,X
Ru-Hist Forte,Hayfever,0,Rx,C,X
Ryclora,Hayfever,0,Rx,B,X
Rymed,Hayfever,0,Rx/OTC,C,X
Rynex PE,Hayfever,0,Rx/OTC,C,X
Ryvent,Hayfever,0,Rx,C,X
Semprex-D,Hayfever,0,Rx,B,X
Sinus & Allergy PE,Hayfever,0,Rx/OTC,N,X
Sudafed PE Sinus & Allergy,Hayfever,0,Rx/OTC,N,X
SudoGest Sinus & Allergy,Hayfever,0,Rx/OTC,C,X
SuTan-DM,Hayfever,0,Rx/OTC,C,X
timothy grass pollen allergen extract,Hayfever,0,Rx,B,N
Tuzistra XR,Hayfever,0,Rx/OTC,C,X
Vi-Sudo,Hayfever,0,Rx/OTC,C,X
Zetonna,Hayfever,0,Rx,C,N
acyclovir,Herpes,100,Rx,B,N
valacyclovir,Herpes,28,Rx,B,N
Zovirax Cream,Herpes,22,Rx,B,N
Abreva,Herpes,18,OTC,N,N
acyclovir,Herpes,16,Rx,B,N
Zovirax Ointment,Herpes,13,Rx,B,N
Zovirax,Herpes,11,Rx,B,N
docosanol,Herpes,10,OTC,N,N
Blistex Ointment,Herpes,5,OTC,N,N
allantoin / camphor / phenol,Herpes,4,OTC,N,N
lisinopril,Hypertension,98,Rx,D,N
amlodipine,Hypertension,76,Rx,C,N
losartan,Hypertension,59,Rx,D,N
hydrochlorothiazide,Hypertension,41,Rx,B,X
metoprolol,Hypertension,37,Rx,C,X
atenolol,Hypertension,24,Rx,D,X
Norvasc,Hypertension,22,Rx,C,N
carvedilol,Hypertension,17,Rx,C,X
Benicar,Hypertension,15,Rx,D,N
furosemide,Hypertension,15,Rx,C,X
clonidine,Hypertension,12,Rx,C,X
Cozaar,Hypertension,12,Rx,D,N
hydrochlorothiazide / lisinopril,Hypertension,12,Rx,D,X
Bystolic,Hypertension,11,Rx,C,X
Diovan,Hypertension,10,Rx,D,N
Lopressor,Hypertension,10,Rx,C,X
Toprol-XL,Hypertension,10,Rx,C,X
spironolactone,Hypertension,9,Rx,C,X
valsartan,Hypertension,9,Rx,D,N
Avapro,Hypertension,8,Rx,D,N
enalapril,Hypertension,8,Rx,D,N
hydralazine,Hypertension,8,Rx,C,N
Lasix,Hypertension,8,Rx,C,X
nifedipine,Hypertension,7,Rx,C,N
Prinivil,Hypertension,7,Rx,D,N
propranolol,Hypertension,7,Rx,C,X
ramipril,Hypertension,7,Rx,D,N
Zestril,Hypertension,7,Rx,D,N
diltiazem,Hypertension,6,Rx,C,N
hydrochlorothiazide / losartan,Hypertension,6,Rx,D,X
irbesartan,Hypertension,6,Rx,D,N
olmesartan,Hypertension,6,Rx,D,N
Vasotec,Hypertension,6,Rx,D,N
chlorthalidone,Hypertension,5,Rx,B,X
Coreg,Hypertension,5,Rx,C,X
hydrochlorothiazide / triamterene,Hypertension,5,Rx,C,X
Katerzia,Hypertension,5,Rx,C,N
Norliqva,Hypertension,5,Rx,C,N
verapamil,Hypertension,5,Rx,C,X
amlodipine / benazepril,Hypertension,4,Rx,D,X
benazepril,Hypertension,4,Rx,D,X
bisoprolol,Hypertension,4,Rx,C,X
Diovan HCT,Hypertension,4,Rx,D,X
doxazosin,Hypertension,4,Rx,C,X
Maxzide,Hypertension,4,Rx,C,X
Tenormin,Hypertension,4,Rx,D,X
Benicar HCT,Hypertension,3,Rx,D,X
candesartan,Hypertension,3,Rx,D,N
Cartia XT,Hypertension,3,Rx,C,N
Coreg CR,Hypertension,3,Rx,C,X
Exforge,Hypertension,3,Rx,D,N
Kapspargo Sprinkle,Hypertension,3,Rx,C,X
labetalol,Hypertension,3,Rx,C,X
perindopril,Hypertension,3,Rx,D,N
Qbrelis,Hypertension,3,Rx,D,N
telmisartan,Hypertension,3,Rx,D,X
Aldactone,Hypertension,2,Rx,C,X
Altace,Hypertension,2,Rx,D,N
amlodipine / valsartan,Hypertension,2,Rx,D,N
Aquazide H,Hypertension,2,Rx,B,X
atenolol / chlorthalidone,Hypertension,2,Rx,D,X
Azor,Hypertension,2,Rx,D,N
captopril,Hypertension,2,Rx,D,N
Cardizem CD,Hypertension,2,Rx,C,N
CaroSpir,Hypertension,2,Rx,C,X
Catapres,Hypertension,2,Rx,C,X
Catapres-TTS,Hypertension,2,Rx,C,X
Dyazide,Hypertension,2,Rx,C,X
Esidrix,Hypertension,2,Rx,B,X
felodipine,Hypertension,2,Rx,C,N
hydrochlorothiazide / valsartan,Hypertension,2,Rx,D,X
Hyzaar,Hypertension,2,Rx,D,X
indapamide,Hypertension,2,Rx,B,X
Inderal LA,Hypertension,2,Rx,C,X
InnoPran XL,Hypertension,2,Rx,C,X
Lotrel,Hypertension,2,Rx,D,X
Micardis,Hypertension,2,Rx,D,X
Microzide,Hypertension,2,Rx,B,X
nebivolol,Hypertension,2,Rx,C,X
nitroglycerin,Hypertension,2,Rx,C,X
prazosin,Hypertension,2,Rx,C,X
Procardia XL,Hypertension,2,Rx,C,N
quinapril,Hypertension,2,Rx,D,N
terazosin,Hypertension,2,Rx,C,X
Accupril,Hypertension,1,Rx,D,N
Adalat CC,Hypertension,1,Rx,C,N
Afeditab CR,Hypertension,1,Rx,C,N
amlodipine / atorvastatin,Hypertension,1,Rx,X,X
amlodipine / hydrochlorothiazide / valsartan,Hypertension,1,Rx,D,X
amlodipine / olmesartan,Hypertension,1,Rx,D,N
Apresoline,Hypertension,1,Rx,C,N
Atacand,Hypertension,1,Rx,D,N
Avalide,Hypertension,1,Rx,D,X
benazepril / hydrochlorothiazide,Hypertension,1,Rx,D,X
bendroflumethiazide / nadolol,Hypertension,1,Rx,C,X
bendroflumethiazide,Hypertension,1,Rx,C,X
bisoprolol / hydrochlorothiazide,Hypertension,1,Rx,C,X
Caduet,Hypertension,1,Rx,X,X
Calan SR,Hypertension,1,Rx,C,X
Cardizem LA,Hypertension,1,Rx,C,N
Cardura,Hypertension,1,Rx,C,X
Dilacor XR,Hypertension,1,Rx,C,N
Dilt-XR,Hypertension,1,Rx,C,N
Diltia XT,Hypertension,1,Rx,C,N
Diltzac,Hypertension,1,Rx,C,N
Epaned,Hypertension,1,Rx,D,N
eplerenone,Hypertension,1,Rx,B,X
Exforge HCT,Hypertension,1,Rx,D,X
fosinopril,Hypertension,1,Rx,D,N
guanfacine,Hypertension,1,Rx,B,X
hydrochlorothiazide / irbesartan,Hypertension,1,Rx,D,X
hydrochlorothiazide / olmesartan,Hypertension,1,Rx,D,X
hydrochlorothiazide / telmisartan,Hypertension,1,Rx,D,X
Lotensin,Hypertension,1,Rx,D,X
Matzim LA,Hypertension,1,Rx,C,N
methyldopa,Hypertension,1,Rx,C,N
metolazone,Hypertension,1,Rx,B,X
Micardis HCT,Hypertension,1,Rx,D,X
Minitran,Hypertension,1,Rx,C,X
minoxidil,Hypertension,1,Rx,C,N
nadolol,Hypertension,1,Rx,C,X
Nexiclon XR,Hypertension,1,Rx,C,X
Nitro-Bid,Hypertension,1,Rx,C,X
Nitro-Dur,Hypertension,1,Rx,C,X
Nitro-Time,Hypertension,1,Rx,C,X
Nitrolingual Pumpspray,Hypertension,1,Rx,C,X
NitroMist,Hypertension,1,Rx,C,X
Nitrostat,Hypertension,1,Rx,C,X
Nitro TD Patch-A,Hypertension,1,Rx,C,X
Taztia XT,Hypertension,1,Rx,C,N
Tekturna,Hypertension,1,Rx,D,N
Tiadylt ER,Hypertension,1,Rx,C,N
Tiazac,Hypertension,1,Rx,C,N
torsemide,Hypertension,1,Rx,B,X
Verelan,Hypertension,1,Rx,C,X
Verelan PM,Hypertension,1,Rx,C,X
Zestoretic,Hypertension,1,Rx,D,X
Ziac,Hypertension,1,Rx,C,X
Accuretic,Hypertension,0,Rx,D,X
acebutolol,Hypertension,0,Rx,B,X
Aldactazide,Hypertension,0,Rx,C,X
Aldoril,Hypertension,0,Rx,C,X
aliskiren / hydrochlorothiazide,Hypertension,0,Rx,D,X
aliskiren,Hypertension,0,Rx,D,N
amiloride / hydrochlorothiazide,Hypertension,0,Rx,B,X
amiloride,Hypertension,0,Rx,B,X
amlodipine / hydrochlorothiazide / olmesartan,Hypertension,0,Rx,D,X
amlodipine / perindopril,Hypertension,0,Rx,D,N
amlodipine / telmisartan,Hypertension,0,Rx,D,X
Atacand HCT,Hypertension,0,Rx,D,X
azilsartan medoxomil / chlorthalidone,Hypertension,0,Rx,D,X
azilsartan medoxomil,Hypertension,0,Rx,D,X
betaxolol,Hypertension,0,Rx,C,X
Brevibloc,Hypertension,0,Rx,C,X
candesartan / hydrochlorothiazide,Hypertension,0,Rx,D,X
captopril / hydrochlorothiazide,Hypertension,0,Rx,D,X
Cardene IV,Hypertension,0,Rx,C,N
chlorothiazide,Hypertension,0,Rx,C,X
clevidipine,Hypertension,0,Rx,C,X
Cleviprex,Hypertension,0,Rx,C,X
Corgard,Hypertension,0,Rx,C,X
Corzide,Hypertension,0,Rx,C,X
Corzide 40/5,Hypertension,0,Rx,C,X
Corzide 80/5,Hypertension,0,Rx,C,X
Demadex,Hypertension,0,Rx,B,X
Diuril,Hypertension,0,Rx,C,X
Diuril Sodium,Hypertension,0,Rx,C,X
Dutoprol,Hypertension,0,Rx,C,X
Edarbi,Hypertension,0,Rx,D,X
Edarbyclor,Hypertension,0,Rx,D,X
enalapril / hydrochlorothiazide,Hypertension,0,Rx,D,X
eprosartan,Hypertension,0,Rx,D,N
esmolol,Hypertension,0,Rx,C,X
fosinopril / hydrochlorothiazide,Hypertension,0,Rx,D,X
guanabenz,Hypertension,0,Rx,C,X
hydrochlorothiazide / methyldopa,Hypertension,0,Rx,C,X
hydrochlorothiazide / metoprolol,Hypertension,0,Rx,C,X
hydrochlorothiazide / moexipril,Hypertension,0,Rx,D,X
hydrochlorothiazide / quinapril,Hypertension,0,Rx,D,X
hydrochlorothiazide / spironolactone,Hypertension,0,Rx,C,X
Hytrin,Hypertension,0,Rx,C,X
Inspra,Hypertension,0,Rx,B,X
isradipine,Hypertension,0,Rx,C,N
Lopressor HCT,Hypertension,0,Rx,C,X
Lotensin HCT,Hypertension,0,Rx,D,X
Maxzide-25,Hypertension,0,Rx,C,X
mecamylamine,Hypertension,0,Rx,C,N
Midamor,Hypertension,0,Rx,B,X
Minipress,Hypertension,0,Rx,C,X
moexipril,Hypertension,0,Rx,D,N
nicardipine,Hypertension,0,Rx,C,N
nisoldipine,Hypertension,0,Rx,C,N
pindolol,Hypertension,0,Rx,B,X
Prestalia,Hypertension,0,Rx,D,N
Sular,Hypertension,0,Rx,C,N
Tarka,Hypertension,0,Rx,D,X
Tekturna HCT,Hypertension,0,Rx,D,X
Tenoretic,Hypertension,0,Rx,D,X
Tenoretic 50,Hypertension,0,Rx,D,X
Tenoretic 100,Hypertension,0,Rx,D,X
timolol,Hypertension,0,Rx,C,X
Trandate,Hypertension,0,Rx,C,X
trandolapril / verapamil,Hypertension,0,Rx,D,X
trandolapril,Hypertension,0,Rx,D,N
Tribenzor,Hypertension,0,Rx,D,X
Twynsta,Hypertension,0,Rx,D,X
Vaseretic,Hypertension,0,Rx,D,X
